iter	Logloss
0	0.6524453671
1	0.6181662995
2	0.5883768976
3	0.5594854539
4	0.5352715263
5	0.5139873654
6	0.49473534
7	0.4775227124
8	0.4618635146
9	0.4475394683
10	0.4341345346
11	0.4232060038
12	0.4116292931
13	0.4026200412
14	0.3922761915
15	0.383209285
16	0.3749785454
17	0.3672185121
18	0.3599947494
19	0.3544751296
20	0.3479878951
21	0.3446106211
22	0.3393020842
23	0.3343646292
24	0.3303040355
25	0.3259391159
26	0.3226235208
27	0.3187090722
28	0.3157599888
29	0.3129367617
30	0.3102864289
31	0.3074019298
32	0.3046669932
33	0.302306289
34	0.3000890179
35	0.2986177577
36	0.2966007066
37	0.2946350912
38	0.2929668115
39	0.2910914722
40	0.2893627472
41	0.2877478056
42	0.2864155754
43	0.2854292355
44	0.2840644065
45	0.283061168
46	0.2815396291
47	0.2805049262
48	0.2794136759
49	0.2785121014
50	0.2775607478
51	0.276582618
52	0.2757551068
53	0.2747096396
54	0.2736328012
55	0.272722671
56	0.271720135
57	0.2712099549
58	0.2705045869
59	0.2696746527
60	0.2692347617
61	0.2685877293
62	0.2680667804
63	0.2675891656
64	0.2670984874
65	0.2665756659
66	0.2660989452
67	0.2655461859
68	0.2650189742
69	0.2645072497
70	0.2639774412
71	0.2636053146
72	0.2632826655
73	0.2625764085
74	0.2620085782
75	0.2617308
76	0.2614781877
77	0.2610770057
78	0.2607700946
79	0.2602475351
80	0.2596859324
81	0.2594518182
82	0.259029773
83	0.2587623887
84	0.2585250155
85	0.2582809145
86	0.2579248304
87	0.2575536699
88	0.2573773691
89	0.2572192711
90	0.2570541882
91	0.2568353759
92	0.2566261571
93	0.2564105789
94	0.2560978139
95	0.2559526612
96	0.2558432277
97	0.2556848334
98	0.2554319408
99	0.2554201763
