satisfaction,gender,age,customer_type,type_of_travel,class,flight_distance,"комфорт, еда, развлечения",сервис/обслуживание,интернет сервис,основные функции
0,1,48,0,1,2,821,4.0,4.0,3.0,2.0
1,0,35,1,1,2,821,4.0,4.0,2.0,3.0
1,1,41,1,1,2,853,4.0,2.0,3.0,4.0
1,1,50,1,1,2,1905,4.0,4.0,2.0,3.0
1,0,49,1,1,2,3470,3.0,2.0,3.0,4.0
1,1,43,1,1,2,3788,3.0,4.0,3.0,4.0
1,1,43,1,1,2,1963,4.0,4.0,3.0,3.0
1,0,60,1,1,2,853,3.0,2.0,3.0,3.0
0,1,50,1,1,2,2607,3.0,4.0,2.0,2.0
1,0,38,1,1,2,2822,3.0,4.0,3.0,4.0
0,0,28,0,1,2,821,2.0,3.0,2.0,2.0
0,0,27,0,1,2,421,1.0,3.0,2.0,2.0
0,1,24,0,1,0,453,4.0,3.0,3.0,2.0
0,1,9,1,0,2,853,4.0,4.0,2.0,1.0
0,1,52,1,0,0,853,2.0,4.0,3.0,2.0
0,1,70,1,0,0,821,4.0,4.0,2.0,2.0
0,0,61,1,0,0,821,3.0,4.0,2.0,2.0
0,0,11,1,0,0,853,4.0,3.0,3.0,2.0
0,0,14,1,0,0,853,4.0,2.0,3.0,3.0
0,0,70,1,0,0,853,3.0,1.0,1.0,3.0
0,0,56,1,0,0,821,3.0,4.0,3.0,3.0
0,1,8,1,1,1,821,3.0,2.0,4.0,3.0
1,1,51,1,1,2,3460,3.0,4.0,3.0,3.0
1,1,47,1,1,2,1676,4.0,4.0,4.0,3.0
1,1,50,1,1,2,2168,3.0,5.0,3.0,3.0
1,1,58,1,1,2,2867,4.0,2.0,2.0,3.0
1,1,32,1,1,2,3734,3.0,5.0,4.0,3.0
1,1,48,1,1,2,3088,3.0,3.0,4.0,3.0
0,1,35,0,1,2,212,1.0,4.0,2.0,3.0
1,1,21,0,1,0,173,2.0,4.0,3.0,4.0
0,0,33,0,1,2,173,2.0,4.0,3.0,2.0
1,0,48,1,1,2,173,4.0,5.0,2.0,2.0
1,0,42,1,1,2,2884,3.0,4.0,4.0,3.0
1,0,54,1,1,2,212,3.0,4.0,3.0,3.0
1,0,51,1,1,2,215,3.0,4.0,4.0,3.0
1,0,46,1,1,2,67,4.0,3.0,3.0,3.0
1,1,51,1,1,2,212,3.0,4.0,2.0,3.0
1,0,54,1,1,2,1554,3.0,3.0,2.0,3.0
1,0,45,1,1,2,108,3.0,4.0,3.0,4.0
1,0,54,1,1,2,1584,3.0,3.0,2.0,3.0
1,1,56,1,1,2,173,4.0,3.0,1.0,3.0
0,0,23,0,1,0,173,3.0,3.0,2.0,3.0
1,1,24,0,1,2,108,3.0,4.0,2.0,2.0
0,0,40,0,1,2,212,4.0,2.0,3.0,2.0
1,1,27,0,1,2,108,4.0,4.0,4.0,3.0
1,1,44,1,1,2,1859,4.0,4.0,2.0,4.0
0,0,20,0,1,0,67,4.0,4.0,2.0,4.0
1,1,40,1,1,2,2853,3.0,4.0,2.0,4.0
1,0,56,1,1,2,2485,3.0,4.0,2.0,3.0
